1781317607,2026-06-13 10:26:47,3.484GiB / 23.47GiB|0.28%,200,1409 MiB,3.764
1781317669,2026-06-13 10:27:49,3.484GiB / 23.47GiB|0.44%,200,1392 MiB,3.148
1781317731,2026-06-13 10:28:51,3.484GiB / 23.47GiB|0.38%,200,1628 MiB,1.611
1781317791,2026-06-13 10:29:51,3.484GiB / 23.47GiB|0.45%,200,1539 MiB,1.186
1781317850,2026-06-13 10:30:50,3.486GiB / 23.47GiB|0.42%,200,1543 MiB,2.592
1781317911,2026-06-13 10:31:51,4.26GiB / 23.47GiB|81.59%,200,1543 MiB,4.581
1781317976,2026-06-13 10:32:56,3.665GiB / 23.47GiB|0.56%,200,1544 MiB,1.236
1781318037,2026-06-13 10:33:57,3.665GiB / 23.47GiB|0.56%,200,1544 MiB,2.264
1781318098,2026-06-13 10:34:58,3.665GiB / 23.47GiB|0.34%,200,1543 MiB,2.163
1781318161,2026-06-13 10:36:01,3.665GiB / 23.47GiB|0.31%,200,1543 MiB,.926
1781318223,2026-06-13 10:37:03,3.665GiB / 23.47GiB|0.47%,200,1543 MiB,.844
1781318283,2026-06-13 10:38:03,3.665GiB / 23.47GiB|0.25%,200,1543 MiB,.927
1781318343,2026-06-13 10:39:03,3.665GiB / 23.47GiB|0.64%,200,1541 MiB,1.021
1781318403,2026-06-13 10:40:03,3.665GiB / 23.47GiB|0.53%,200,1541 MiB,1.057
1781318464,2026-06-13 10:41:04,3.665GiB / 23.47GiB|0.44%,200,1541 MiB,.938
1781318525,2026-06-13 10:42:05,3.665GiB / 23.47GiB|0.52%,200,1541 MiB,-.146
1781318585,2026-06-13 10:43:05,3.665GiB / 23.47GiB|0.32%,200,1541 MiB,2.087
1781318647,2026-06-13 10:44:07,3.665GiB / 23.47GiB|0.63%,200,1541 MiB,1.008
1781318707,2026-06-13 10:45:07,3.665GiB / 23.47GiB|0.38%,200,1541 MiB,2.542
1781318768,2026-06-13 10:46:08,3.665GiB / 23.47GiB|0.42%,200,1541 MiB,1.586
1781318828,2026-06-13 10:47:08,3.665GiB / 23.47GiB|0.29%,200,1602 MiB,2.844
1781318890,2026-06-13 10:48:10,3.665GiB / 23.47GiB|0.37%,200,1602 MiB,1.165
1781318950,2026-06-13 10:49:10,3.662GiB / 23.47GiB|0.39%,200,1604 MiB,1.555
1781319012,2026-06-13 10:50:12,3.652GiB / 23.47GiB|0.21%,200,1604 MiB,84.174
1781319156,2026-06-13 10:52:36,1.804GiB / 23.47GiB|0.65%,200,1604 MiB,87.690
1781319303,2026-06-13 10:55:03,1.583GiB / 23.47GiB|0.41%,200,1604 MiB,595.567
1781319959,2026-06-13 11:05:59,1.577GiB / 23.47GiB|0.50%,200,1598 MiB,1.879
1781320020,2026-06-13 11:07:00,1.578GiB / 23.47GiB|0.28%,200,1328 MiB,2.537
